MOF_name,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,LPD,PLD,SA_grav,VF,PSSD,density,Fugacity,chg,bond_length,eps_eff,sig_eff,loading,PC1,PC2
OPT_fog_sym_5_mc_2_sym_3_on_2_2B_2SH_2B_2SH,0.0,0.0,0.0042431,0.0,0.0,0.00011166,0.0,0.00256819,0.0,0.0,0.0,0.0,0.00044664,0.0,0.0,0.0,0.0,0.0011166,0.0,0.0,27.12108,21.06982,5903.274897,0.913767,5.97942009456598,5.0090753166639,82500.0,0.0,0.0,105.0,3.0,0.24517941,3.2861780956256608,-0.9715608599123053
OPT_edq_sym_3_on_2_sym_7_mc_4_2B_2CH3_2B_2CH3,0.0,0.0,0.00655898,0.00172605,0.0001726,0.0,0.0,0.007422,0.0,0.0,0.0,0.0,0.00069042,5.753e-05,0.0,0.0,0.0,0.0,0.0,0.0,25.75827,18.54409,6523.425401,0.863916,6.56998347605756,4.7073072255416,150000.0,0.0,0.0,55.0,3.0,0.32692719,3.0109127975187993,-1.0233015463988095
OPT_lvtb_sym_5_mc_2_sym_5_on_9_1B_2OH,0.0,0.0,0.01570236,0.0,0.0,0.00092367,0.0,0.00831302,0.0,0.0,0.0,0.0,0.00369467,0.0,0.00369467,0.0,0.0,0.0,0.0,0.0,8.87694,5.91749,3670.89096,0.718812,1.27459238287596,1.610643619763,82500.0,0.9,1.2,30.0,4.3,0.08574629,-1.6267711117400543,-1.0607270989142996
OPT_csq_sym_5_on_9_sym_8_mc_9_2B_4Br,0.00417061,0.0,0.00755924,0.0,0.0,0.0,0.0,0.00130332,0.0,0.0,0.0,0.0,0.00104265,0.0,0.0,0.00052133,0.00052133,0.0,0.0,0.00039099,39.43731,37.72159,1017.6188,0.752905,15.9590660887201,1.0549144250117,10000000.0,0.9,1.2,95.0,5.1,5.272048,3.3040333521460528,5.353235629053376
OPT_kkm_sym_6_mc_3_sym_3_on_2_1B_2CN_1B_2CN,0.0,0.00261246,0.01132064,0.0,0.0,0.0,0.0,0.00348327,0.00261246,0.0,0.0,0.0,0.00348327,0.0,0.0,0.0,0.00029027,0.0,0.00116109,0.0,12.28555,8.09425,3568.078961,0.769919,2.71547226634167,1.7517959763431,1000.0,0.9,1.13,62.0,3.54,1e-07,-0.9130478506311086,-0.695122336679201
OPT_mcn_sym_6_mc_3_sym_3_on_2_2B_2SH_ntn_edge_ntn_edge,0.0,0.0,0.01427052,0.0,0.0,0.0,0.0,0.00665957,0.0,0.0,0.0,0.0,0.00570821,0.0,0.0,0.0,0.00047568,0.00190274,0.00190274,0.0,8.2935,6.01798,2751.558546,0.741811,1.58464910272638,1.3020376751389,33500.0,0.9,1.2,30.0,4.3,0.03536344,-1.8513722458412427,-0.6798851892270906
OPT_lil_sym_5_mc_2_sym_3_on_2_2B_2NO2_2B_2NO2,0.0,0.0,0.00508878,0.0,0.0,0.00013392,0.0,0.0017409,0.0,0.00133915,0.0,0.00267831,0.00053566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.17982,19.21381,5236.594803,0.894479,4.92504532664243,4.254031083763,150000.0,0.0,0.0,55.0,3.0,0.27118587,2.387358141930478,-0.8899063966353339
SR_tfp_v1-3c_B_Ch_v2-4c_Cu_1_Ch_v3-3c_B_Ch_2B_2SH_Ch_1x1x2,0.0,0.0,0.00226869,0.0,0.0,4.93e-05,0.0,0.00138094,0.0,0.0,0.0,0.0,0.00019728,0.0,0.0,0.0,0.0,0.00059183,0.0,0.0,59.35219,57.05724,5921.765,0.953351,16.13758,9.232019,10000000.0,0.0,0.0,221.0,4.1,133.8231,10.228086669520138,2.630037604694745
OPT_lvtb_sym_5_on_9_sym_5_mc_2_1B_2OH,0.0,0.0,0.01402772,0.0,0.0,0.00082516,0.0,0.00742644,0.0,0.0,0.0,0.0,0.00330064,0.0,0.00330064,0.0,0.0,0.0,0.0,0.0,10.60077,6.97038,3668.990197,0.747239,1.13405644780818,1.8029236059414,1000.0,0.5,1.6,195.0,3.9,0.004282,-1.3269860981746553,-1.1028656433455424
OPT_ssa_sym_5_on_9_sym_5_mc_2_2B_2Br,0.00155221,0.0,0.00562674,0.0,0.0,0.00019403,0.0,0.00174623,0.0,0.0,0.0,0.0,0.0007761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.51556,23.9926,2805.940688,0.88476,6.98820504149294,2.3910864434262,10000000.0,0.0,1.2,30.0,3.6,8.17778,1.8499210955504564,1.1714439555091383
OPT_ucp_sym_5_mc_2_sym_3_on_2_2B_4CN_2B_4CN,0.0,0.00207878,0.00394968,0.0,0.0,0.00010394,0.0,0.00031182,0.00207878,0.0,0.0,0.0,0.00041576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.25204,29.40501,5268.121198,0.899638,14.0285137908445,5.2323587355202,1000.0,0.6,1.13,62.0,3.54,1e-07,6.03402140466341,2.0470617081657023
OPT_fcu_sym_12_mc_11_1B_4Br,0.01039092,0.0,0.02078185,0.0,0.0,0.0,0.0,0.00173182,0.0,0.0,0.0,0.0,0.01039092,0.00173182,0.0,0.0,0.00173182,0.0,0.0,0.00259773,6.40177,1.97711,122.937501,0.273809,1.78765488580168,0.3909817166746,82500.0,0.0,1.2,95.0,3.6,0.10724688,-4.6820914430156435,1.5516699924570339
OPT_lim_sym_5_mc_2_sym_3_on_2_1B_2F_ntn_edge,0.0,0.0,0.03033777,0.0,0.0,0.00151689,0.00606755,0.01061822,0.0,0.0,0.0,0.0,0.00606755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.89892,6.79493,613.46066,0.417766,2.16196278679398,0.8806550767033,105000.0,0.05,0.2,250.0,4.86,2.6821287,-3.4838185085047075,1.2020002851616893
OPT_the_sym_8_mc_9_sym_3_on_2_1B_2CF3,0.0,0.0,0.00988676,0.00219706,0.0,0.0,0.00659118,0.00549265,0.0,0.0,0.0,0.0,0.00219706,0.0,0.0,0.00109853,0.00109853,0.0,0.0,0.0008239,21.92083,14.21457,1783.319921,0.706757,6.73063673067875,1.4292291607785,10000000.0,0.0,0.0,250.0,4.1,17.03513,-0.20478127564223525,1.6066478133789668
OPT_ibe_sym_6_mc_3_sym_3_on_2_ntn_edge_1B_2NH2,0.0,0.0,0.01984201,0.0,0.0,0.0,0.0,0.01082292,0.0,0.0,0.00180382,0.0,0.00721528,0.0,0.0,0.0,0.00060127,0.0,0.00240509,0.0,7.69464,4.9663,1448.33344,0.647803,1.45036349530198,1.081435042239,150000.0,0.0,1.6,195.0,3.9,2.8649154,-2.6637792187526173,-0.0035078922994855213
OPT_lim_sym_5_mc_2_sym_3_on_2_1B_2OH_ntn_edge,0.0,0.0,0.03560945,0.0,0.0,0.00178047,0.0,0.0195852,0.0,0.0,0.0,0.0,0.00712189,0.0,0.00712189,0.0,0.0,0.0,0.0,0.0,6.1057,4.97093,117.752316,0.224697,1.4288646009965,0.7637753442875,33500.0,0.0,1.2,95.0,3.6,0.07079124,-4.602337754073855,1.6454003347619262
OPT_ucp_sym_5_mc_2_sym_3_on_2_2B_4CN_2B_4CN,0.0,0.00207878,0.00394968,0.0,0.0,0.00010394,0.0,0.00031182,0.00207878,0.0,0.0,0.0,0.00041576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.25204,29.40501,5268.121198,0.899638,14.0285137908445,5.2323587355202,55000.0,0.9,1.6,94.0,3.98,0.1595068,6.03402140466341,2.0470617081657023
OPT_lim_sym_5_mc_2_sym_3_on_2_1B_2OH_ntn_edge,0.0,0.0,0.03560945,0.0,0.0,0.00178047,0.0,0.0195852,0.0,0.0,0.0,0.0,0.00712189,0.0,0.00712189,0.0,0.0,0.0,0.0,0.0,6.1057,4.97093,117.752316,0.224697,1.4288646009965,0.7637753442875,33500.0,0.0,1.2,195.0,5.1,1.2514151,-4.602337754073855,1.6454003347619262
OPT_pyr_sym_6_mc_3_sym_3_on_2_1B_2CN,0.0,0.00265626,0.01195317,0.0,0.0,0.0,0.0,0.00398439,0.00265626,0.0,0.0,0.0,0.00265626,0.0,0.0,0.0,0.00022136,0.0,0.00088542,0.0,9.64959,7.20975,4179.786622,0.77626,1.84443824584126,1.8781289930473,1000.0,0.5,1.6,195.0,3.9,0.00539207,-1.0219884435194697,-1.2682302807131316
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2CH3,0.0,0.0,0.00669063,0.00157427,0.0,0.0,0.0,0.00767455,0.0,0.0,0.0,0.0,0.00078713,0.0,0.0,0.00039357,0.00039357,0.0,0.0,0.00029517,43.31923,41.91938,3609.00991,0.825706,15.5909058651935,3.2776630571703,77500.0,0.9,1.13,197.0,3.54,0.52812207,5.335727406556362,3.935490046674094
OPT_reo_sym_8_mc_9_2B_4Br,0.00527484,0.0,0.00923096,0.0,0.0,0.0,0.0,0.00263742,0.0,0.0,0.0,0.0,0.00263742,0.0,0.0,0.00131871,0.00131871,0.0,0.0,0.00098903,22.96054,10.8165,1042.748929,0.702452,8.2596761280718,0.8484216434854,82500.0,0.0,0.0,250.0,3.0,0.22189832,-0.5333545553823027,2.212591778713353
OPT_pyr_sym_6_mc_3_sym_3_on_2_2B_4H,0.0,0.0,0.00725905,0.0,0.0,0.0,0.0,0.00435543,0.0,0.0,0.0,0.0,0.00096787,0.0,0.0,0.0,8.066e-05,0.0,0.00032262,0.0,17.35999,14.73698,6666.207239,0.911902,2.29333446708517,4.6519271249036,82500.0,0.5,1.2,30.0,3.6,0.1753509,1.911234403733371,-2.51149079568498
OPT_csq_sym_8_mc_9_sym_5_on_11_2B_2NH2,0.0,0.0,0.00664949,0.0,0.0,0.0,0.0,0.00606277,0.0,0.0,0.00156459,0.0,0.00078229,0.0,0.0,0.00039115,0.00039115,0.0,0.0,0.00029336,43.4424,42.17199,3837.696024,0.849406,15.5775233456401,3.266017280685,1000.0,0.0,1.2,30.0,5.1,1e-07,5.485280787384145,3.806473679632278
