Fugacity,chg,bond_length,eps_eff,sig_eff
10000000,0.9,1.5,95,4.45
10000000,0.0,1.5,95,5.25
10000000,0.3,1.5,95,5.25
10000000,0.5,1.5,95,5.25
10000000,0.9,1.5,95,5.25
10000000,0.0,1.6,30,3.9
10000000,0.3,1.6,30,3.9
10000000,0.5,1.6,30,3.9
10000000,0.9,1.6,30,3.9
10000000,0.0,1.6,30,4.6
10000000,0.3,1.6,30,4.6
10000000,0.5,1.6,30,4.6
10000000,0.9,1.6,30,4.6
10000000,0.0,1.6,30,5.3
10000000,0.3,1.6,30,5.3
10000000,0.5,1.6,30,5.3
10000000,0.9,1.6,30,5.3
10000000,0.0,1.6,65,3.9
10000000,0.3,1.6,65,3.9
10000000,0.5,1.6,65,3.9
10000000,0.9,1.6,65,3.9
10000000,0.0,1.6,65,4.6
10000000,0.3,1.6,65,4.6
10000000,0.5,1.6,65,4.6
10000000,0.9,1.6,65,4.6
10000000,0.0,1.6,65,5.3
10000000,0.3,1.6,65,5.3
10000000,0.5,1.6,65,5.3
10000000,0.9,1.6,65,5.3
10000000,0.0,1.6,95,3.9
10000000,0.3,1.6,95,3.9
10000000,0.5,1.6,95,3.9
10000000,0.9,1.6,95,3.9
10000000,0.0,1.6,95,4.6
10000000,0.3,1.6,95,4.6
10000000,0.5,1.6,95,4.6
10000000,0.9,1.6,95,4.6
10000000,0.0,1.6,95,5.3
10000000,0.3,1.6,95,5.3
10000000,0.5,1.6,95,5.3
10000000,0.9,1.6,95,5.3
150000,0.0,0.0,155,3.0
150000,0.0,0.0,155,3.6
150000,0.0,0.0,155,4.1
150000,0.0,0.0,155,4.6
150000,0.0,0.0,205,3.0
150000,0.0,0.0,205,3.6
150000,0.0,0.0,205,4.1
150000,0.0,0.0,205,4.6
150000,0.0,0.0,250,3.0
150000,0.0,0.0,250,3.6
150000,0.0,0.0,250,4.1
150000,0.0,0.0,250,4.6
575000,0.0,0.0,155,3.0
575000,0.0,0.0,155,3.6
575000,0.0,0.0,155,4.1
575000,0.0,0.0,155,4.6
575000,0.0,0.0,205,3.0
575000,0.0,0.0,205,3.6
575000,0.0,0.0,205,4.1
575000,0.0,0.0,205,4.6
575000,0.0,0.0,250,3.0
575000,0.0,0.0,250,3.6
575000,0.0,0.0,250,4.1
575000,0.0,0.0,250,4.6
1500000,0.0,0.0,155,3.0
1500000,0.0,0.0,155,3.6
1500000,0.0,0.0,155,4.1
1500000,0.0,0.0,155,4.6
1500000,0.0,0.0,205,3.0
1500000,0.0,0.0,205,3.6
1500000,0.0,0.0,205,4.1
1500000,0.0,0.0,205,4.6
1500000,0.0,0.0,250,3.0
1500000,0.0,0.0,250,3.6
1500000,0.0,0.0,250,4.1
1500000,0.0,0.0,250,4.6
1500000,0.0,0.0,155,3.0
1500000,0.0,0.0,155,3.6
1500000,0.0,0.0,155,4.1
1500000,0.0,0.0,155,4.6
1500000,0.0,0.0,205,3.0
1500000,0.0,0.0,205,3.6
1500000,0.0,0.0,205,4.1
1500000,0.0,0.0,205,4.6
1500000,0.0,0.0,250,3.0
1500000,0.0,0.0,250,3.6
1500000,0.0,0.0,250,4.1
1500000,0.0,0.0,250,4.6
8250000,0.0,0.0,155,3.0
8250000,0.0,0.0,155,3.6
8250000,0.0,0.0,155,4.1
8250000,0.0,0.0,155,4.6
8250000,0.0,0.0,205,3.0
8250000,0.0,0.0,205,3.6
8250000,0.0,0.0,205,4.1
8250000,0.0,0.0,205,4.6
8250000,0.0,0.0,250,3.0
8250000,0.0,0.0,250,3.6
8250000,0.0,0.0,250,4.1
8250000,0.0,0.0,250,4.6
10000000,0.0,0.0,155,3.0
10000000,0.0,0.0,155,3.6
10000000,0.0,0.0,155,4.1
10000000,0.0,0.0,155,4.6
10000000,0.0,0.0,205,3.0
10000000,0.0,0.0,205,3.6
10000000,0.0,0.0,205,4.1
10000000,0.0,0.0,205,4.6
10000000,0.0,0.0,250,3.0
10000000,0.0,0.0,250,3.6
10000000,0.0,0.0,250,4.1
10000000,0.0,0.0,250,4.6
150000,0.0,1.2,125,3.6
150000,0.3,1.2,125,3.6
150000,0.5,1.2,125,3.6
150000,0.9,1.2,125,3.6
150000,0.0,1.2,125,4.3
150000,0.3,1.2,125,4.3
150000,0.5,1.2,125,4.3
150000,0.9,1.2,125,4.3
150000,0.0,1.2,125,5.1
150000,0.3,1.2,125,5.1
150000,0.5,1.2,125,5.1
150000,0.9,1.2,125,5.1
150000,0.0,1.2,195,3.6
150000,0.3,1.2,195,3.6
